Rank,Company,Industry,Revenue(US$ millions),Profits(US$ millions)
1,Nigeria National Petroleum,Oil and gas,"9,706","1,877"
2,Nigeria Liquefied Natural Gas,Oil and gas,"6,315",...
3,MTN Nigeria,Telecommunications,"3,514",536
4,Dangote Cement,Cement,"2,699",721
5,Nigerian Petroleum Development,Oil and gas,"2,686",219
6,Flour Mills of Nigeria,Agroindustry,"2,014",67
7,Airtel Nigeria,Telecommunications,"1,503",343
8,Nigerian Breweries,Agroindustry,890,19
9,Jumia,Retail,837,...
10,Nestle Nigeria,Agroindustry,749,102
11,Krystal Digital Network Solutions,Infotech,678,21
12,Julius Berger,Construction,631,3
13,Nigerian Bottling Company,Agroindustry,627,...
14,Lafarge Africa,Cement,602,97
15,Dangote Sugar Refinery,Agroindustry,559,78
16,BUA Cement,Cement,547,184
17,TotalEnergies Nigeria,Oil and gas,534,5
18,Seplat Petroleum Development,Oil and gas,498,−80
19,Ardova Plc,Oil and gas,474,5
20,11PLC,Oil and gas,428,16
21,International Breweries plc,Agroindustry,357,−32
22,Conoil,Oil and gas,307,...
23,Honeywell Flour Mill,Agroindustry,286,3
24,PZ Cussons Nigeria,Consumer goods,216,4
25,UAC of Nigeria,Conglomerate,213,11
